hotelName,stars,roomType,photoLink,seasons,extrabed,contractUntil
The Dewi Premier Nusa Penida ,3,Triangle Suite ,,"{'normal': 1300000, 'high': 1400000, 'peak': nan}",,
The Dewi Bedugul ,3,Deluxe Tent (Weekdays) ,,"{'normal': 600000, 'high': 700000, 'peak': nan}",,
The Dewi Bedugul ,3,Deluxe Tent (Weekend) ,,"{'normal': 750000, 'high': 850000, 'peak': nan}",,
The Dewi Bedugul ,3,Deluxe Lake View Tent (Weekdays) ,,"{'normal': 700000, 'high': 800000, 'peak': nan}",,
The Dewi Bedugul ,3,Deluxe Lake View Tent  (Weekend) ,,"{'normal': 850000, 'high': 950000, 'peak': nan}",,
The Dewi Bedugul ,3,Suite Tent (Weekdays) ,,"{'normal': 800000, 'high': 900000, 'peak': nan}",,
The Dewi Bedugul ,3,Suite Tent (Weekend) ,,"{'normal': 950000, 'high': 1050000, 'peak': nan}",,
Asri Sari Ubud,3,Deluxe Room,,"{'normal': 450000, 'high': 550000, 'peak': nan}",,
Asri Sari Ubud,3,Suite Room,,"{'normal': 500000, 'high': 600000, 'peak': nan}",,
Mora Residence Jimbaran,3,Standard Room ,,"{'normal': 400000, 'high': 500000, 'peak': nan}",,
Mora Residence Jimbaran,3,Superior Room ,,"{'normal': 500000, 'high': 600000, 'peak': nan}",,
Mora Residence Jimbaran,3,Deluxe Room ,,"{'normal': 600000, 'high': 700000, 'peak': nan}",,
Kubal Villa Seminyak (room only),3,Deluxe room ,,"{'normal': 450000, 'high': 550000, 'peak': nan}",,
Bale Seminyak (room only),3,Superior room ,,"{'normal': 600000, 'high': 700000, 'peak': nan}",,
Anggie Stay Kerobokan (room only),3,Superior room ,,"{'normal': 450000, 'high': 550000, 'peak': nan}",,
Pondok Bobo Seminyak (room only),3,Superior room ,,"{'normal': 400000, 'high': 500000, 'peak': nan}",,
Kampi Hotel Legian,3,Champ Room ,,"{'normal': 500000, 'high': 700000, 'peak': datetime.datetime(2026, 3, 1, 0, 0)}",,
Kampi Hotel Legian,3,Champ Balcony,,"{'normal': 510000, 'high': 710000, 'peak': nan}",,
Kampi Hotel Legian,3,Champ Pool Access ,,"{'normal': 575000, 'high': 775000, 'peak': nan}",,
Kampi Hotel Legian,3,Champ Suite ,,"{'normal': 1050000, 'high': 1250000, 'peak': nan}",,
Kampi Hotel Legian,3,Champ Suite with Balcony ,,"{'normal': 1150000, 'high': 1350000, 'peak': nan}",,
Kampi Hotel Legian,3,Champ Suite Pool Access ,,"{'normal': 1300000, 'high': 1500000, 'peak': nan}",,
Puri Tempo Doeloe,3,Deluxe ,,"{'normal': 850000, 'high': 1100000, 'peak': '31 March 2026'}",,
Puri Tempo Doeloe,3,Deluxe Garden,,"{'normal': 965000, 'high': 1254000, 'peak': nan}",,
Puri Tempo Doeloe,3,Cottage Deluxe,,"{'normal': 1300000, 'high': 1696000, 'peak': nan}",,
Puri Tempo Doeloe,3,Cottage Suite,,"{'normal': 1300000, 'high': 1696000, 'peak': nan}",,
Puri Tempo Doeloe,3,Suite ,,"{'normal': 1400000, 'high': 1843000, 'peak': nan}",,
Puri Tempo Doeloe,3,Cottage Suite Pool View,,"{'normal': 1400000, 'high': 1843000, 'peak': nan}",,
Puri Tempo Doeloe,3,Bungalow One Bedroom,,"{'normal': 1400000, 'high': 1843000, 'peak': nan}",,
"
The Vira Bali Boutique Hotel & Suite Kuta",4,Superior Room,,"{'normal': 875000, 'high': 1075000, 'peak': 415000}","Booking window : Immediately – 31 April 2025 & Periods stay :
01 April – 23 Dec 2025",
"
The Vira Bali Boutique Hotel & Suite Kuta",4,Deluxe Room,,"{'normal': 975000, 'high': 1175000, 'peak': nan}",,
"
The Vira Bali Boutique Hotel & Suite Kuta",4,Deluxe Room Pool Access,,"{'normal': 1250000, 'high': 1450000, 'peak': nan}",,
"
The Vira Bali Boutique Hotel & Suite Kuta",4,The Junior Suite Room,,"{'normal': 2400000, 'high': 2600000, 'peak': nan}",,
The Vira Bali Boutique Hotel & Suite Kuta,4,Superior Room,,"{'normal': 1185500, 'high': 1385500, 'peak': 415000}",3/31/2026 0:00,
The Vira Bali Boutique Hotel & Suite Kuta,4,Deluxe Room,,"{'normal': 1347000, 'high': 1547000, 'peak': nan}",,
The Vira Bali Boutique Hotel & Suite Kuta,4,Deluxe Room Pool Access,,"{'normal': 1650000, 'high': 1850000, 'peak': nan}",,
The Vira Bali Boutique Hotel & Suite Kuta,4,The Junior Suite Room,,"{'normal': 3100000, 'high': 3300000, 'peak': nan}",,
Swissbell Tuban ,4,Deluxe no Balcony – 24m2,,"{'normal': 650000, 'high': 800000, 'peak': 950000}",1450000,1550000
Swissbell Tuban ,4,Deluxe Balcony City View– 32m2,,"{'normal': 730000, 'high': 880000, 'peak': 1030000}",1530000,1630000
Swissbell Tuban ,4,Deluxe Balcony Pool View– 27m2,,"{'normal': 770000, 'high': 920000, 'peak': 1070000}",1570000,1670000
Swissbell Tuban ,4,Grand Deluxe Balcony Pool View – 32m2,,"{'normal': 810000, 'high': 960000, 'peak': 1110000}",1610000,1710000
Swissbell Tuban ,4,Triple Room - 36 m2,,"{'normal': 900000, 'high': 1050000, 'peak': 1200000}",1700000,1800000
Swissbell Tuban ,4,Grand Deluxe Family - 36 M2,,"{'normal': 1010000, 'high': 1160000, 'peak': 1310000}",1810000,1910000
Alam Kulkul Boutique Resort Legian Kuta,4,Alam Room,,"{'normal': 1365000, 'high': 1417500, 'peak': nan}",,
Alam Kulkul Boutique Resort Legian Kuta,4,Alam Lanai,,"{'normal': 1680000, 'high': 1785000, 'peak': nan}",,
Alam Kulkul Boutique Resort Legian Kuta,4,Family Room,,"{'normal': 1942500, 'high': 2047500, 'peak': nan}",,
Alam Kulkul Boutique Resort Legian Kuta,4,Alam Quad Room,,"{'normal': 2058000, 'high': 2163000, 'peak': nan}",,
Sense Canggu Beach,4,Suite Garden View,,"{'normal': 1450000, 'high': 1500000, 'peak': nan}",,
Risata Bali Resort Kuta,4,Superior Room,,"{'normal': 750000, 'high': 900000, 'peak': datetime.datetime(2026, 3, 31, 0, 0)}",,
Risata Bali Resort Kuta,4,Deluxe Room,,"{'normal': 850000, 'high': 1000000, 'peak': nan}",,
Risata Bali Resort Kuta,4,Studio Room,,"{'normal': 1000000, 'high': 1150000, 'peak': nan}",,
Risata Bali Resort Kuta,4,Junior Suite,,"{'normal': 1250000, 'high': 1400000, 'peak': nan}",,
Golden Tulip Jineng Kuta,4,Deluxe City View,,"{'normal': 850000, 'high': 800000, 'peak': 300000}",12/31/2025 0:00,
Golden Tulip Jineng Kuta,4,Deluxe Pool View,,"{'normal': 930000, 'high': 880000, 'peak': nan}",,
Golden Tulip Jineng Kuta,4,Deluxe Pool access,,"{'normal': 950000, 'high': 900000, 'peak': nan}",,
Golden Tulip Jineng Kuta,4,Suite Pool View,,"{'normal': 1250000, 'high': 1200000, 'peak': nan}",,
Golden Tulip Jineng Kuta,4,Suite Pool Access,,"{'normal': 1550000, 'high': 1500000, 'peak': nan}",,
Grand Ixora Kuta,4,Superior  (23 m2) ,,"{'normal': 600000, 'high': 800000, 'peak': 1600000}",No Extra Bed,
Grand Ixora Kuta,4,Pool Access  (25 m2) ,,"{'normal': 700000, 'high': 900000, 'peak': 1700000}",,
Grand Ixora Kuta,4,Deluxe Daybed (28 m2),,"{'normal': 750000, 'high': 950000, 'peak': 1750000}",250000,
Grand Ixora Kuta,4,Deluxe Balcony (28 m2),,"{'normal': 800000, 'high': 1000000, 'peak': 1800000}",,
Grand Ixora Kuta,4,Junior Suite (33 m2,,"{'normal': 1000000, 'high': 1200000, 'peak': 2000000}",,
The Rivavi Legian,4,Deluxe Suite ,,"{'normal': 592800, 'high': nan, 'peak': 792800}",200000,
The Rivavi Legian,4,Junior Suite,,"{'normal': 708000, 'high': nan, 'peak': 908000}",,
The Rivavi Legian,4,Suite Room,,"{'normal': 768000, 'high': nan, 'peak': 968000}",,
The Rivavi Legian,4,Suite Room Balcony Deluxe,,"{'normal': 888000, 'high': nan, 'peak': 1088000}",,
J4 Hotel,4,Superior,,"{'normal': 600000, 'high': 850000, 'peak': 'No Extra Bed'}",Saat high/ peak harga bisa berubah,
J4 Hotel,4,Grand Superior,,"{'normal': 800000, 'high': 1050000, 'peak': 250000}",,
J4 Hotel,4,Grand Superior Balcony,,"{'normal': 850000, 'high': 1100000, 'peak': 'No Extra Bed'}",,
J4 Hotel,4,Triple,,"{'normal': 950000, 'high': 1200000, 'peak': 'No Extra Bed'}",,
Bedrock,4,Superior,,"{'normal': '850.000 / 780.000', 'high': 850000, 'peak': nan}",,
Harper,4,Superior ,,"{'normal': 785000, 'high': 1135000, 'peak': 1235000}",3235000,300000
Harper,4,Superior Premier ,,"{'normal': 890000, 'high': 1240000, 'peak': 1340000}",3340000,
Harper,4,Deluxe Room ,,"{'normal': 925000, 'high': 1275000, 'peak': 1375000}",3375000,
Harper,4,Deluxe Premier ,,"{'normal': 995000, 'high': 1345000, 'peak': 1445000}",3445000,
Harper,4,Deluxe Pool Access Room,,"{'normal': 1065000, 'high': 1415000, 'peak': 1515000}",3515000,
Harper,4,Family Suite ,,"{'normal': 1212000, 'high': 1562000, 'peak': 1662000}",3662000,
Harper,4,Harper Suite,,"{'normal': 1380000, 'high': 1730000, 'peak': 1830000}",3830000,
Bliss Surfer Hotel,4,Deluxe,,"{'normal': 450000, 'high': 550000, 'peak': 250000}",30-Sep-25,
Bliss Surfer Hotel,4,Deluxe Lagoon - Pool Access,,"{'normal': 600000, 'high': 700000, 'peak': nan}",,
Bliss Surfer Hotel,4,Junior Suite,,"{'normal': 750000, 'high': 850000, 'peak': nan}",,
Bliss Surfer Hotel,4,Family Suites,,"{'normal': 900000, 'high': 1000000, 'peak': nan}",,
Bliss Surfer Hotel,4,Family Lagoon Suites,,"{'normal': 1050000, 'high': 1150000, 'peak': nan}",,
Harris MBG,4,Harris Room,,"{'normal': 700000, 'high': 750000, 'peak': nan}",,
Harris MBG,4,Harris Corner,,"{'normal': 900000, 'high': 950000, 'peak': nan}",,
Harris MBG,4,Harris Suite,,"{'normal': 1550000, 'high': 1600000, 'peak': nan}",,
Kuta Beach Club,4,Deluxe Room,,"{'normal': 730000, 'high': 930000, 'peak': 980000}",2180000,300000
Kuta Beach Club,4,Grand Deluxe Room,,"{'normal': 830000, 'high': 1030000, 'peak': 1080000}",2280000,
Kuta Beach Club,4,Premium Deluxe Room,,"{'normal': 930000, 'high': 1130000, 'peak': 1180000}",2380000,
Kuta Beach Club,4,Junior Suite Room,,"{'normal': 1500000, 'high': 1700000, 'peak': 1750000}",2950000,
Ubud Raya Hotel,4,Deluxe Room,,"{'normal': 600000, 'high': 925000, 'peak': 'MAY 2025'}",,
Ubud Raya Hotel,4,Family Room,,"{'normal': 1050000, 'high': 1375000, 'peak': nan}",,
Ubud Raya Hotel,4,Deluxe Room,,"{'normal': 800000, 'high': 1125000, 'peak': 'June 2025'}",,
Ubud Raya Hotel,4,Family Room,,"{'normal': 1300000, 'high': 1625000, 'peak': nan}",,
Brits Legian,4,Deluxe Room,,"{'normal': 450000, 'high': 550000, 'peak': 470000}",,12/19/2025 0:00
Brits Legian,4,Deluxe Premiere,,"{'normal': 700000, 'high': 850000, 'peak': 700000}",200000,
Brits Legian,4,Junior Suite,,"{'normal': 1200000, 'high': 1350000, 'peak': 1200000}",,
Adhi Jaya Hotel Kuta,4,Superior Room,,"{'normal': 650000, 'high': 800000, 'peak': 300000}",9/30/2025 0:00,
Adhi Jaya Hotel Kuta,4,Deluxe Room,,"{'normal': 750000, 'high': 900000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Premier Pool View,,"{'normal': 850000, 'high': 1000000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Premier Garden,,"{'normal': 950000, 'high': 1100000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Premier Pool Access,,"{'normal': 1050000, 'high': 1200000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Family Garden,,"{'normal': 1350000, 'high': 1500000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Family Pool View,,"{'normal': 1550000, 'high': 1700000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Family Suite Pool Access,,"{'normal': 1750000, 'high': 1900000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Superior Room,,"{'normal': 700000, 'high': 1050000, 'peak': 350000}",3/31/2025 0:00,
Adhi Jaya Hotel Kuta,4,Deluxe Room,,"{'normal': 800000, 'high': 1150000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Premier Pool View,,"{'normal': 900000, 'high': 1250000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Premier Garden,,"{'normal': 1000000, 'high': 1350000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Premier Pool Access,,"{'normal': 1150000, 'high': 1500000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Family Garden,,"{'normal': 1550000, 'high': 2050000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Family Pool View,,"{'normal': 1750000, 'high': 2250000, 'peak': nan}",,
Adhi Jaya Hotel Kuta,4,Family Suite Pool Access,,"{'normal': 1850000, 'high': 2350000, 'peak': nan}",,
Episode Kuta Hotel,4,Deluxe ,,"{'normal': 500000, 'high': 750000, 'peak': 280000}",3/31/2026 0:00,
Episode Kuta Hotel,4,Deluxe Triple (3pax),,"{'normal': 800000, 'high': 1050000, 'peak': nan}",,
Episode Kuta Hotel,4,Premier Pool View,,"{'normal': 650000, 'high': 900000, 'peak': nan}",,
Episode Kuta Hotel,4,Executive Pool View,,"{'normal': 800000, 'high': 1050000, 'peak': nan}",,
Episode Kuta Hotel,4,Junior Suite,,"{'normal': 850000, 'high': 1100000, 'peak': nan}",,
Episode Kuta Hotel,4,Family Loft (4pax),,"{'normal': 950000, 'high': 1200000, 'peak': nan}",,
Episode Kuta Hotel,4,Family Suite (4pax),,"{'normal': 1250000, 'high': 1500000, 'peak': nan}",,
De Vins Sky Seminyak,4,Superior Room,,"{'normal': 750000, 'high': 950000, 'peak': nan}",3/31/2026 0:00,
De Vins Sky Seminyak,4,Superior Terrace,,"{'normal': 805000, 'high': 1005000, 'peak': nan}",,
De Vins Sky Seminyak,4,Deluxe Room,,"{'normal': 850000, 'high': 1050000, 'peak': 250000}",,
De Vins Sky Seminyak,4,Whirlpool Suite Room,,"{'normal': 1100000, 'high': 1300000, 'peak': nan}",,
Bintang Kuta Hotel (Asing),4,Deluxe Room (FIT),,"{'normal': 900000, 'high': 1100000, 'peak': 3100000}",350.000 / 400.000 / 450.000 / 950.000 / 1.350.000,31-Mar-26
